Country,Edu,Sex,Age,px,lx,dx,Lx,Tx,ex.derived,ex.original,diff
EL,middle,F,41,0.9993120716214992,98849,68,98815,4385996,44.37066636991776,44.3,-0.07066636991775965
EL,middle,F,42,0.9991747035566577,98781,81,98740,4287181,43.400866563407945,43.4,-8.665634079463302e-4
EL,middle,F,43,0.9990516398535653,98700,94,98653,4188441,42.436079027355625,42.4,-0.03607902735562618
EL,middle,F,44,0.9989848967930158,98606,100,98556,4089788,41.4760562237592,41.5,0.023943776240798798
EL,middle,F,45,0.9989830945989344,98506,100,98456,3991232,40.51765374697988,40.5,-0.017653746979881646
EL,middle,F,46,0.9989373100808906,98406,104,98354,3892776,39.55831961465764,39.5,-0.05831961465764124
EL,middle,F,47,0.9987811886576952,98302,120,98242,3794422,38.599641919798174,38.6,3.5808020182770406e-4
EL,middle,F,48,0.9986097702781375,98182,137,98114,3696180,37.646208062577664,37.6,-0.04620806257766219
EL,middle,F,49,0.9984618524847966,98045,151,97970,3598066,36.69810801162731,36.7,0.0018919883726908893
EL,middle,F,50,0.9982510074649986,97894,171,97808,3500096,35.75393793286616,35.7,-0.053937932866155336
EL,middle,F,51,0.9979301231251707,97723,202,97622,3402288,34.81563193925688,34.8,-0.015631939256884664
EL,middle,F,52,0.9977564324166571,97521,219,97412,3304666,33.886711580069935,33.9,0.013288419930063355
EL,middle,F,53,0.9976667860442895,97302,227,97188,3207254,32.96185073277014,32.9,-0.061850732770139416
EL,middle,F,54,0.997485106544839,97075,244,96953,3110066,32.03776461498841,32,-0.03776461498841144
EL,middle,F,55,0.997381070488271,96831,254,96704,3013113,31.11723518294761,31.1,-0.017235182947608507
EL,middle,F,56,0.9973262582243733,96577,258,96448,2916409,30.197759300868736,30.2,0.0022406991312635682
EL,middle,F,57,0.9972000424716138,96319,270,96184,2819961,29.277307696300834,29.3,0.022692303699166416
EL,middle,F,58,0.9969686736140622,96049,291,95904,2723777,28.3582025840977,28.3,-0.05820258409769963
EL,middle,F,59,0.9967624282423868,95758,310,95603,2627873,27.442855949372376,27.4,-0.042855949372377466
EL,middle,F,60,0.996555137544912,95448,329,95284,2532270,26.530362081971337,26.5,-0.030362081971336607
EL,middle,F,61,0.9961812169514173,95119,363,94938,2436986,25.6203912993198,25.6,-0.02039129931979744
EL,middle,F,62,0.9956219207725812,94756,415,94548,2342048,24.716619528050995,24.7,-0.016619528050995314
EL,middle,F,63,0.9952645250695777,94341,446,94118,2247500,23.823152181978145,23.8,-0.02315218197814417
EL,middle,F,64,0.9951021281131127,93895,460,93665,2153382,22.93393684434741,22.9,-0.033936844347412176
EL,middle,F,65,0.9947677434245363,93435,489,93190,2059717,22.04438379622197,22,-0.04438379622197175
EL,middle,F,66,0.9943003691862824,92946,530,92681,1966527,21.157736750371182,21.2,0.042263249628817334
EL,middle,F,67,0.993747590259933,92416,578,92127,1873846,20.276207583102494,20.2,-0.07620758310249443
EL,middle,F,68,0.9932188556999817,91838,622,91527,1781719,19.400672924061936,19.4,-6.729240619378629e-4
EL,middle,F,69,0.9927102101063457,91216,665,90884,1690192,18.529556218207333,18.5,-0.029556218207332563
EL,middle,F,70,0.9926241843953877,90551,668,90217,1599308,17.66195845435169,17.6,-0.06195845435168934
EL,middle,F,71,0.9922287865019885,89883,699,89534,1509091,16.789504133150874,16.8,0.0104958668491264
EL,middle,F,72,0.9906114583581682,89184,837,88766,1419557,15.917171241478291,15.9,-0.017171241478290966
EL,middle,F,73,0.9895564810375804,88347,923,87886,1330791,15.063227953410982,15.1,0.036772046589018004
EL,middle,F,74,0.9876073885486438,87424,1083,86882,1242905,14.21697703147877,14.2,-0.0169770314787705
EL,middle,F,75,0.9845197992138301,86341,1337,85672,1156023,13.389038811225259,13.3,-0.08903881122525803
EL,middle,F,76,0.9819399786887008,85004,1535,84236,1070351,12.591772151898734,12.5,-0.09177215189873422
EL,middle,F,77,0.9776253019030515,83469,1868,82535,986115,11.814146569385041,11.8,-0.014146569385040664
EL,middle,F,78,0.9725426519736752,81601,2240,80481,903580,11.073148613374837,11.1,0.026851386625162732
EL,middle,F,79,0.967588598316422,79361,2572,78075,823099,10.37158049923766,10.3,-0.07158049923766008
EL,middle,F,80,0.9620312175798419,76789,2916,75331,745024,9.702222974644807,9.7,-0.002222974644807252
EL,middle,F,81,0.9558756777190799,73873,3259,72244,669693,9.065463701216954,9,-0.0654637012169541
EL,middle,F,82,0.9489993902723213,70614,3602,68813,597449,8.460772651315603,8.4,-0.06077265131560239
EL,middle,F,83,0.9413336196809782,67012,3931,65046,528636,7.888676654927476,7.9,0.011323345072524305
EL,middle,F,84,0.9328323304776155,63081,4237,60962,463590,7.349122556712798,7.3,-0.04912255671279819
EL,middle,F,85,0,58844,58844,402628,402628,6.842294881381279,6.8,-0.042294881381279126
EL,lower,F,0,0.9993278230000001,100000,67,99966,8340823,83.40823,83.3,-0.10823000000000604
EL,lower,F,1,0.9994320294232415,99933,57,99904,8240857,82.46382075990914,82.5,0.03617924009085982
EL,lower,F,2,0.9995540637434802,99876,45,99854,8140953,81.5106031479034,81.6,0.08939685209659842
EL,lower,F,3,0.9996566396866425,99831,34,99814,8041099,80.54711462371408,80.6,0.052885376285914276
EL,lower,F,4,0.9997305255243842,99797,27,99784,7941285,79.57438600358728,79.6,0.025613996412715778
EL,lower,F,5,0.9999059944825907,99770,9,99766,7841501,78.59578029467775,78.6,0.004219705322242362
EL,lower,F,6,0.9999761078645653,99761,2,99760,7741735,77.60282074157236,77.6,-0.002820741572364227
EL,lower,F,7,0.9999527139552206,99759,5,99756,7641975,76.6043665233212,76.6,-0.00436652332120957
EL,lower,F,8,0.9999453095710106,99754,6,99751,7542219,75.60818613789924,75.6,-0.008186137899244272
EL,lower,F,9,0.9999052345501145,99748,9,99744,7442468,74.61270401411556,74.6,-0.012704014115570317
EL,lower,F,10,0.9997881334719637,99739,21,99728,7342724,73.61938659902346,73.6,-0.019386599023462736
EL,lower,F,11,0.9997146892383111,99718,29,99704,7242996,72.63479010810485,72.6,-0.03479010810485761
EL,lower,F,12,0.9997504477516684,99689,25,99676,7143292,71.65576944296762,71.6,-0.05576944296763031
EL,lower,F,13,0.9997963114568669,99664,20,99654,7043616,70.67362337453845,70.7,0.02637662546155184
EL,lower,F,14,0.9997991722868576,99644,20,99634,6943962,69.68770824133917,69.7,0.01229175866083665
EL,lower,F,15,0.9998366811739678,99624,16,99616,6844328,68.70159800851201,68.7,-0.001598008512004867
EL,lower,F,16,0.9999873592335652,99608,1,99608,6744712,67.71255320857763,67.7,-0.012553208577628538
EL,lower,F,17,0.999953049325313,99607,5,99604,6645104,66.71322296625739,66.7,-0.013222966257387725
EL,lower,F,18,0.9999245294885293,99602,8,99598,6545500,65.71655187646834,65.7,-0.01655187646834122
EL,lower,F,19,0.9997480540868213,99594,25,99582,6445902,64.72179046930538,64.7,-0.02179046930537254
EL,lower,F,20,0.9996381042566164,99569,36,99551,6346320,63.737910393797264,63.7,-0.03791039379726158
EL,lower,F,21,0.9994283214068918,99533,57,99504,6246769,62.76078285593723,62.7,-0.06078285593722654
EL,lower,F,22,0.9992662426785291,99476,73,99440,6147265,61.79646346857533,61.8,0.0035365314246647017
EL,lower,F,23,0.9992187957353719,99403,77,99364,6047825,60.841473597376336,60.8,-0.04147359737633849
EL,lower,F,24,0.9991531242114093,99326,84,99284,5948461,59.888256851176934,59.9,0.011743148823065042
EL,lower,F,25,0.9990498227534362,99242,95,99194,5849177,58.938524012011044,58.9,-0.03852401201104527
EL,lower,F,26,0.9990404606367893,99147,95,99100,5749983,57.99452328360918,58,0.005476716390816705
EL,lower,F,27,0.999023545551866,99052,97,99004,5650883,57.04966078423455,57,-0.049660784234546895
EL,lower,F,28,0.998981449932017,98955,100,98905,5551879,56.10508817139104,56.1,-0.005088171391037122
EL,lower,F,29,0.9990138816653403,98855,98,98806,5452974,55.16133731222497,55.1,-0.061337312224971186
EL,lower,F,30,0.9990585557761937,98757,93,98710,5354168,54.215579655113054,54.2,-0.015579655113050705
EL,lower,F,31,0.9990636649198275,98664,92,98618,5255458,53.26621665450418,53.3,0.03378334549582007
EL,lower,F,32,0.9990835020091202,98572,90,98527,5156840,52.315464837884996,52.3,-0.015464837884998417
EL,lower,F,33,0.9991068094560462,98482,88,98438,5058313,51.362817570723585,51.3,-0.06281757072358829
EL,lower,F,34,0.9991125143266265,98394,88,98350,4959875,50.40830741711893,50.4,-0.008307417118928129
EL,lower,F,35,0.9991390660737515,98306,84,98264,4861525,49.45298354118772,49.4,-0.05298354118772153
EL,lower,F,36,0.9991313730070923,98222,86,98179,4763261,48.494848404634396,48.5,0.005151595365603612
EL,lower,F,37,0.9991287452382307,98136,85,98094,4665082,47.53690796445749,47.5,-0.036907964457491005
EL,lower,F,38,0.9991312635888715,98051,85,98008,4566988,46.57767896298865,46.6,0.02232103701135202
EL,lower,F,39,0.9990232354690018,97966,96,97918,4468980,45.617663270930734,45.6,-0.017663270930732722
EL,lower,F,40,0.9988934381054496,97870,108,97816,4371062,44.66191887197303,44.6,-0.06191887197302748
EL,lower,F,41,0.9988174683069913,97762,116,97704,4273246,43.710705591129475,43.7,-0.010705591129472225
EL,lower,F,42,0.9986774313600402,97646,129,97582,4175542,42.762038383548735,42.7,-0.0620383835487317
EL,lower,F,43,0.9985495359233018,97517,142,97446,4077960,41.81793943620087,41.8,-0.017939436200869352
EL,lower,F,44,0.9985393312893154,97375,142,97304,3980514,40.878192554557124,40.9,0.021807445442874496
EL,lower,F,45,0.9986035093235454,97233,136,97165,3883210,39.93716125183837,39.9,-0.037161251838369935
EL,lower,F,46,0.9985989854863557,97097,136,97029,3786045,38.992399353224094,39,0.007600646775905773
