Country,Edu,Sex,Age,px,lx,dx,Lx,Tx,ex.derived,ex.original,diff
CZ,lower,M,70,0.9669900476141126,49327,1628,48513,646943,13.115393192369291,13.1,-0.015393192369291597
CZ,lower,M,71,0.9675890546952332,47699,1546,46926,598430,12.545965324220633,12.5,-0.045965324220633264
CZ,lower,M,72,0.9652051200095212,46153,1606,45350,551504,11.949472406994127,11.9,-0.04947240699412703
CZ,lower,M,73,0.9639495013791628,44547,1606,43744,506154,11.362246615933733,11.3,-0.062246615933732485
CZ,lower,M,74,0.9612313113457048,42941,1665,42108,462410,10.76849630888894,10.6,-0.1684963088889404
CZ,lower,M,75,0.9555190222621062,41276,1836,40358,420302,10.182721193914139,10.1,-0.08272119391413923
CZ,lower,M,76,0.9514514563762942,39440,1914,38483,379944,9.633468559837729,9.5,-0.13346855983772876
CZ,lower,M,77,0.9462690559811818,37526,2017,36518,341461,9.09931780632095,9,-0.09931780632095055
CZ,lower,M,78,0.9403435958043682,35509,2118,34450,304943,8.587766481737024,8.5,-0.08776648173702384
CZ,lower,M,79,0.9344489775375422,33391,2189,32296,270493,8.100775658111468,8,-0.10077565811146805
CZ,lower,M,80,0.9281310395157255,31202,2242,30081,238197,7.634029869880136,7.5,-0.13402986988013588
CZ,lower,M,81,0.9210446629825945,28960,2287,27816,208116,7.186325966850829,7.1,-0.08632596685082916
CZ,lower,M,82,0.9133528406685106,26673,2311,25518,180300,6.759644584411203,6.6,-0.1596445844112031
CZ,lower,M,83,0.9049602239503887,24362,2315,23204,154782,6.353419259502504,6.2,-0.15341925950250346
CZ,lower,M,84,0.8956792788188528,22047,2300,20897,131578,5.968068217898127,5.8,-0.16806821789812698
CZ,lower,M,85,0,19747,19747,110681,110681,5.6049526510356005,5.4,-0.20495265103560012
DK,higher,M,0,0.9994588312,100000,54,99973,8174428,81.74428,81.6,-0.14428000000000907
DK,higher,M,1,0.9995225205029935,99946,48,99922,8074455,80.78817561483201,80.9,0.11182438516799209
DK,higher,M,2,0.9995948877377638,99898,40,99878,7974533,79.82675328835413,79.9,0.07324671164587926
DK,higher,M,3,0.9996559077258632,99858,35,99840,7874655,78.8585291113381,78.9,0.04147088866190529
DK,higher,M,4,0.999703006503907,99823,29,99808,7774815,77.8860082345752,77.9,0.01399176542480518
DK,higher,M,5,0.99980918381549,99794,19,99784,7675007,76.90850151311702,76.9,-0.008501513117010973
DK,higher,M,6,0.9999035329033427,99775,10,99770,7575223,75.92305687797544,75.9,-0.023056877975434986
DK,higher,M,7,0.999872992553686,99765,13,99758,7475453,74.9306169498321,74.9,-0.030616949832094065
DK,higher,M,8,0.9997331209628021,99752,26,99739,7375695,73.94032199855641,73.9,-0.040321998556407834
DK,higher,M,9,0.9997375409377035,99726,26,99713,7275956,72.95946894490905,73,0.040531055090951895
DK,higher,M,10,0.999835884916313,99700,17,99692,7176243,71.97836509528585,72,0.02163490471414775
DK,higher,M,11,0.999865984522685,99683,13,99676,7076551,70.99055004363834,71,0.00944995636166368
DK,higher,M,12,0.9999113750860226,99670,9,99666,6976875,69.99974917226848,70,2.5082773152007576e-4
DK,higher,M,13,0.9999536901154951,99661,5,99658,6877209,69.00602040918714,69,-0.006020409187144082
DK,higher,M,14,0.9999596816019708,99656,4,99654,6777551,68.00946255117604,68,-0.009462551176042666
DK,higher,M,15,0.9999636335486718,99652,3,99650,6677897,67.01217235981214,67,-0.012172359812140598
DK,higher,M,16,0.999905926455624,99649,10,99644,6578247,66.0141797709962,66,-0.014179770996193497
DK,higher,M,17,0.999853495652497,99639,14,99632,6478603,65.02075492528026,65,-0.020754925280257908
DK,higher,M,18,0.9998152399179865,99625,19,99616,6378971,64.02982183186951,64,-0.02982183186951204
DK,higher,M,19,0.9996957413150855,99606,30,99591,6279355,63.041935224785654,63,-0.0419352247856537
DK,higher,M,20,0.9996814360595229,99576,32,99560,6179764,62.06077769743713,62,-0.060777697437131906
DK,higher,M,21,0.9997407682645122,99544,25,99532,6080204,61.080567387286024,61.1,0.01943261271397745
DK,higher,M,22,0.9997282193500197,99519,28,99505,5980672,60.09578070519197,60.1,0.004219294808031293
DK,higher,M,23,0.999804700764253,99491,19,99482,5881167,59.11255289423164,59.1,-0.0125528942316393
DK,higher,M,24,0.9999791862134791,99472,2,99471,5781685,58.12374336496703,58.1,-0.023743364967025116
DK,higher,M,25,0.999966733383556,99470,3,99468,5682214,57.12490198049663,57.1,-0.024901980496629506
DK,higher,M,26,0.9999841521099706,99467,2,99466,5582746,56.12661485718882,56.1,-0.026614857188818064
DK,higher,M,27,0.9999828710762901,99465,2,99464,5483280,55.12773337354849,55.1,-0.02773337354848593
DK,higher,M,28,0.999969035742657,99463,3,99462,5383816,54.128831826910506,54.1,-0.028831826910504788
DK,higher,M,29,0.9998762423926381,99460,12,99454,5284354,53.130444399758694,53.1,-0.030444399758692953
DK,higher,M,30,0.9996873436402897,99448,31,99432,5184900,52.13679510900169,52.1,-0.036795109001687365
DK,higher,M,31,0.9996477073096325,99417,35,99400,5085468,51.152901415250916,51.1,-0.05290141525091485
DK,higher,M,32,0.9996925250487017,99382,31,99366,4986068,50.170735143184885,50.1,-0.0707351431848835
DK,higher,M,33,0.9996558396236878,99351,34,99334,4886702,49.18623868909221,49.2,0.013761310907796087
DK,higher,M,34,0.9996688899619819,99317,33,99300,4787368,48.20290584693456,48.2,-0.0029058469345599747
DK,higher,M,35,0.9997522852795498,99284,24,99272,4688068,47.218766367189076,47.2,-0.018766367189073208
DK,higher,M,36,0.9997437031185608,99260,26,99247,4588796,46.23006246222043,46.2,-0.030062462220428188
DK,higher,M,37,0.9996934273121768,99234,30,99219,4489549,45.2420440574803,45.2,-0.042044057480296715
DK,higher,M,38,0.9996804485068727,99204,32,99188,4390330,44.25557437200113,44.2,-0.05557437200112503
DK,higher,M,39,0.999581940652068,99172,41,99152,4291142,43.26969305852458,43.2,-0.06969305852457808
DK,higher,M,40,0.9993681116644203,99131,63,99100,4191990,42.28737730881359,42.3,0.01262269118640802
DK,higher,M,41,0.9993104719462448,99068,68,99034,4092890,41.31394597650099,41.3,-0.01394597650099172
DK,higher,M,42,0.9994286812976452,99000,57,98972,3993856,40.341979797979796,40.3,-0.041979797979799116
DK,higher,M,43,0.9994310260387287,98943,56,98915,3894884,39.36492728136402,39.3,-0.06492728136402093
DK,higher,M,44,0.9993204252493826,98887,67,98854,3795969,38.38693660440705,38.4,0.01306339559295111
DK,higher,M,45,0.999197908511274,98820,80,98780,3697115,37.412618903056064,37.4,-0.012618903056065278
DK,higher,M,46,0.9991063391119374,98740,88,98696,3598335,36.44252582540004,36.4,-0.04252582540004113
DK,higher,M,47,0.9989548688071652,98652,103,98600,3499639,35.47458743867332,35.4,-0.07458743867331918
DK,higher,M,48,0.9987667707613622,98549,122,98488,3401039,34.511146739185584,34.5,-0.011146739185583954
DK,higher,M,49,0.9986043011133131,98427,137,98358,3302551,33.553303463480546,33.5,-0.05330346348054604
DK,higher,M,50,0.9984734686781,98290,150,98215,3204193,32.59937938752671,32.6,6.206124732912599e-4
DK,higher,M,51,0.9984548303654741,98140,152,98064,3105978,31.648441002649278,31.6,-0.048441002649276754
DK,higher,M,52,0.998257850726002,97988,170,97903,3007914,30.69675878679022,30.7,0.0032412132097796587
DK,higher,M,53,0.9980470890697808,97818,191,97722,2910011,29.74923838148398,29.7,-0.049238381483981186
DK,higher,M,54,0.9978782938939372,97627,207,97524,2812289,28.806467473137555,28.8,-0.006467473137554691
DK,higher,M,55,0.997337390236731,97420,260,97290,2714765,27.866608499281462,27.8,-0.06660849928146106
